name_1,name_2,street_1,street_2,city,zip,phone,website,latitude,longitude,flag_saf,flag_mhf,flag_mc,flag_md,flag_np_ss,flag_pi,flag_gl,flag_vet,flag_pw,flag_hv,flag_dv,flag_chld,flag_yad,flag_adlt,flag_snr,flag_si,filter_military,filter_inpatient_svc,filter_residential_pgm
Allied Service Center NYC,Queens Opioid Treatment Clinic Otp 3,2036 Amsterdam Avenue,,NEW YORK,10032,212-645-0875,,40.835269103,-73.9402930483999,,,1,1,,1,1,,,1,,,1,,,,,,
Beth Israel Medical Center,Ny Center Addiction Treatment Op 1,25 12th Street,,BROOKLYN,11215,718-965-7900,,40.6718349352999,-73.9970691926999,1,1,,1,,,,,,,,,1,,,,,,
New York Center Addiction Treatment,Bleuler Cd Recovery Services Op,37-20 74Th Street,,QUEENS,11372,212-966-9537,http://nycats.net/,40.7482778643,-73.8917207877999,1,,1,1,,1,,,,,,,1,,,,,,
"Bleuler Psychotherapy Center, Inc.",Bleuler Cd Recovery Services Op,104-70 Queens Boulevard,,QUEENS,11375,718-275-6010,,40.7233695884999,-73.8482954387,,1,1,1,,1,,,,,,1,1,1,1,,,,
"Safe Space NYC, Inc.",Family Life Clinic,133-25 Guy R. Brewer Boulevard,,QUEENS,11434,718-206-3440,,40.6737687218999,-73.7759505245,,,1,1,,1,,,,,,1,1,1,,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,67-09 108th Street,,QUEENS,11375,718-224-0566,,40.7287014941,-73.8474137699,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,208-11 26th Avenue,,QUEENS,11360,718-224-0566,,40.7763803152,-73.7837977327999,1,1,1,1,,1,,,,,,,,,1,,,,
"Samuel Field YM & YWHA, Inc.",Community Advisory Program for the Elderly,92-33 170th Street,,QUEENS,11433,718-657-6540,,40.7061930002,-73.7891362043999,1,1,,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",Service Program for Older People PROS,188 W. 88th Street,,NEW YORK,10024,212-787-7120,http://www.spop.org/,40.7887172956,-73.9734391993,1,1,1,1,,,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,225 E. 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.7829647890999,-73.9500136760999,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,465 Grand Street,,NEW YORK,10012,212-787-7120,http://www.spop.org/,40.7151325887,-73.9840306119999,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,331 E. 12th Street,,NEW YORK,10003,212-787-7120,http://www.spop.org/,40.7306570761,-73.9850407709,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,72 Columbia Street,,NEW YORK,10002,212-787-7120,http://www.spop.org/,40.7170066767999,-73.9802676736999,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,1484 1st Avenue,,NEW YORK,10075,212-787-7120,http://www.spop.org/,40.7712434675,-73.9534775414,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,312 E. 109th Street,,NEW YORK,10029,212-787-7120,http://www.spop.org/,40.7923060748999,-73.9404796492,1,1,,,,1,,,,,,,,,1,,,,
"Service Program for Older People, Inc.",SPOP Mental Health Clinic,415 East 93rd Street,,NEW YORK,10128,212-787-7120,http://www.spop.org/,40.7809040072,-73.9451117098,1,1,,,,1,,,,,,,,,1,,,,
South Beach Psychiatric Center,Heights Hill Clinic,25 Flatbush Avenue,,BROOKLYN,11217,718-875-1420,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.6879588238,-73.9802690581,,1,1,1,,1,1,,,,,,1,1,,,,,
South Beach Psychiatric Center,Mapleton Clinic,1083 Mcdonald Avenue,,BROOKLYN,11230,718-421-7444,https://www.omh.ny.gov/omhweb/facilities/sbpc/employment.htm,40.6268537925,-73.9764072308,,1,1,1,,1,,,,,,,1,1,1,,,,
St. Luke's-Roosevelt Hospital center,SRL Department Of Psychiatry And Behavioral Health,347 West 37th street,,NEW YORK,10018,212-523-6676,,40.7546744277999,-73.9934344793999,1,1,,,1,,,,,,,,1,1,1,,,,
Goddard-Riverside Community Center,The Other Place,264 West 87th Street,,NEW YORK,10024,212-799-7171,http://www.goddard.org/,40.7891900573999,-73.9765158242999,,1,,1,,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",PAL Queens Peer Advocacy,33-24 Northern Boulevard,2nd Floor,QUEENS,11101,347-649-3850,,40.752002114,-73.9303194776999,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Brooklyn Assisted Competitive Employment ( BACE),2559 West 13th Street,,BROOKLYN,11223,718-372-0371,http://www.goodwillnynj.org/,40.5854934922,-73.9820922651999,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Bronx Assisted Competitive Employment,384 East 149th Street,6th Floor Room 622,BRONX,10455,718-401-2555,http://www.goodwillnynj.org/,40.8162430126999,-73.9183626466,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",CitiView Psychosocial Clubhouse,33-24A Northern Boulevard,3rd Floor,QUEENS,11101,718-361-7030,http://www.goodwillnynj.org/,40.752002114,-73.9303194776999,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Seamark Center Clubhouse,2559 West 13th Street,,BROOKLYN,11223,718-372-0450,http://www.goodwillnynj.org/,40.5854934922,-73.9820922651999,,1,,,1,,,,,,,,1,1,1,,,,
"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",Latern House,512 Southern Boulevard,,BRONX,10455,718-993-1078,,40.8115310753,-73.9050094109,,1,,,1,,,,,,,,1,1,1,,,,
"Heights Hill Mental Health Service Community Advisory Board, Inc.","Rainbow Heights Club, Advocacy Services",25 Flatbush Avenue,3rd Floor,BROOKLYN,11217,718-852-5212,,40.6879588238,-73.9802690581,,1,,,1,,1,,,,,,1,1,1,,,,
"Hospital Audiences, Inc.",Recreation Program,33-02 Skillman Avenue,,QUEENS,11101,212-575-7676,http://hainyc.org/,40.7467271833999,-73.9311117532,,1,,,1,,,,,1,,1,1,1,1,,,,
"Jewish Association for Services for the Aged, Inc.",Bronx Friendship House,2705 Schley Avenue,,BRONX,10465,718-863-8833,http://www.jasa.org/,40.8216618586999,-73.8270614642,,1,,,1,,,,,,,,,,1,,,,
"Jewish Association for Services for the Aged, Inc.",Brooklyn Friendship House,202 Graham Avenue,,BROOKLYN,11206,718-922-5079,http://www.jasa.org/,40.7088782139,-73.9434432967999,,1,,,1,,,,,,,,,,1,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Loss and Bereavement,135 West 50th Street,,NEW YORK,10020,212-582-9100,https://www.jbfcs.org/,40.7603739694,-73.9815326674,,1,1,1,,,1,,,,,1,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",CoD Peer Advocacy Program,195 Montague Street,8th Floor,BROOKLYN,11201,718-488-0100,https://www.jbfcs.org/,40.6940151607999,-73.9914715066,1,1,1,1,,,,,,,,,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Health Home Care Coordination for People with Mental Illness- Bronx (Adult),55 Westchester Square,,BRONX,10461,718-931-4045,https://www.jbfcs.org/,40.841468994,-73.8433024609,,1,,1,,,,,,,,,1,1,,,,,
"Jewish Board of Family and Children's Services, Inc.Â ",Bronx Home Based Crisis Intervention,521 West 239th Street,,BRONX,10463,718-601-2280,https://www.jbfcs.org/,40.8894484241,-73.9092345339,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS- Bay Ridge Counseling center,9201 4th Avenue,,BROOKLYN,11209,718-238-6444,https://www.jbfcs.org/,40.6182253651999,-74.0302102578999,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Brooklyn PROS Possibilities,195 Montague Street,,BROOKLYN,11201,718-488-0100,https://www.jbfcs.org/,40.6940151607999,-73.9914715066,,1,1,1,,,,,,,,1,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Ittleson Center For Children Research,5050 Iselin Avenue,,BRONX,10471,718-549-6700,https://www.jbfcs.org/,40.8990161242,-73.9054812294999,,1,1,1,,1,,,,,,,1,1,,,,,
Jewish Board of Family & Children's Services,JBFCS Madeleine Borg JW Beatman Counseling Center,521 West 239th Street,,BRONX,10463,718-601-2280,https://www.jbfcs.org/,40.8894484241,-73.9092345339,,1,1,1,,1,,,,,,1,1,1,,,,,
Jewish Child Care Association of New York,JCCA Brooklyn Child & Adolescfent Guidance Services,858 E. 29th Street,,NEW YORK,10016,718-859-4500,http://www.jccany.org,40.7398994244,-73.9739205628,1,1,1,1,,1,,,,,,1,1,,,,,,
JGB Mental Health and Mental Retardation Svcs,"JBG Mental Health and Mental Retardation Services, Inc. CTP",1630 East 15th Street,,BROOKLYN,11229,212-769-6259,,40.609688269,-73.9584702583999,1,1,1,1,,1,,,,,,,,,,,,,
Lutheran Medical Center,Sunset Park Mental Health Center,514  West 49th Street,,NEW YORK,10019,718-431-2600,,40.7645500165,-73.9934407256999,1,1,1,1,,1,1,,,1,1,,1,1,,,,,
Lutheran Medical Center,Sunset Park Mental Health Center,4004 Fourth Avenue,,BROOKLYN,11232,718-431-2600,,40.6519762909999,-74.0068617417999,1,1,1,1,,1,1,,,1,1,1,1,,,,,,
"Palladia, Inc.",Ujima House Cr,1806-08 3rd Avenue,,NEW YORK,10029,718-294-4184,http://www.palladiainc.org/,40.7879151034999,-73.9473521054,1,1,,1,,1,,,,,,,,1,,,,,
"Palladia, Inc.",Cti Harlem Op,177 E. 122nd Street,,NEW YORK,10035,212-979-8800,http://www.palladiainc.org/,40.8020952039999,-73.9379786269,1,1,,,,1,,,,,,,,1,,,,,
"Palladia, Inc.",Esperanza Transitional Shelter Cr,170 E. 107th Street,,NEW YORK,10029,212-722-7501,http://www.palladiainc.org/,40.7925772995,-73.9449901300999,1,1,,1,,1,,,,1,,,,1,,,,,
Legal Action Ctr Of The City Of Ny,"Legal Action Ctr., City Of New York",225 Varick Street,,NEW YORK,10014,212-243-1313,http://lac.org/,40.7291647811999,-74.0052496841999,1,,,,,,,,,1,,,,1,,,,,
"Qsa Services, Inc.D/B/A  Pac Of Queens",The Pac Program Op,40-11 Warren Street,,QUEENS,11373,718328-2605,,40.7487469036,-73.8701737324,1,1,,1,,1,,,,,,,1,1,1,,,,
"Reborn For New Life, Llc","Reborn For New Life, Llc Op",400 Liberty Avenue,,BROOKLYN,11207,646-251-1400,,40.6746060119999,-73.8950741556,,,,1,,,,,,,,,,,,,,,
"Ohel Children's Home & Family Services, Inc.",Ohel - Tikvah Clinic,2925 A. Kings Highway,,QUEENS,11229,718-382-0045,http://www.ohelfamily.org/,40.5956616889,-73.7438879543,1,,1,1,,1,,,,,1,1,1,1,1,,,,
"Pesach Tikvah-Hope Development, Inc.",Pesach Tikvah Family Services Center,18 Middleton Street,,BROOKLYN,11206,718-875-6900,http://www.pesachtikvah.org/,40.7002977761,-73.9552293028,,1,,1,,1,,,,,,,,1,,,,,
