Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34994325,12/13/2016 02:14:20 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11215,19 STREET,19 STREET,7 AVENUE,8 AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Open,12/21/2016 02:14:20 AM,"The Department of Parks and Recreation usually requires 4 days to inspect branches that have fallen on streets or sidewalks. If warranted, the issue will be resolved in 10 days. All other locations will be inspected in 8 days and may take up to 45 days to resolve. Please note your Service Request number for future reference.",,07 BROOKLYN,BROOKLYN,987946,179406,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.659103960486945,-73.98667872497548,"(40.659103960486945, -73.98667872497548)"
34990249,12/13/2016 02:14:08 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,528 WEST 29 STREET,WEST 29 STREET,HIGH LINE,11 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,12/13/2016 10:14:08 AM,Your complaint has been received by the Police Department and additional information will be available later.,12/13/2016 02:37:31 AM,04 MANHATTAN,MANHATTAN,983485,213249,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75199574890211,-74.00276108923626,"(40.75199574890211, -74.00276108923626)"
34992589,12/13/2016 02:07:54 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,234 SANDS STREET,SANDS STREET,GOLD STREET,NAVY STREET,,,ADDRESS,BROOKLYN,,Precinct,Open,12/13/2016 10:07:54 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,02 BROOKLYN,BROOKLYN,989518,194201,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.699712085471425,-73.9810012927035,"(40.699712085471425, -73.9810012927035)"
34995192,12/13/2016 02:07:11 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2885 VALENTINE AVENUE,VALENTINE AVENUE,EAST 198 STREET,EAST 199 STREET,,,ADDRESS,BRONX,,Precinct,Open,12/13/2016 10:07:11 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,07 BRONX,BRONX,1015005,256321,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87016285040958,-73.88879970718,"(40.87016285040958, -73.88879970718)"
34994376,12/13/2016 02:07:05 AM,12/13/2016 03:16:36 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,270 BAY 11 STREET,BAY 11 STREET,CROPSEY AVENUE,INDEPENDENCE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/13/2016 10:07:05 AM,The Police Department responded to the complaint and took action to fix the condition.,12/13/2016 03:15:42 AM,11 BROOKLYN,BROOKLYN,980450,159740,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.605124912147716,-74.01368504257195,"(40.605124912147716, -74.01368504257195)"
34988708,12/13/2016 02:02:58 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,455 HUDSON STREET,HUDSON STREET,MORTON STREET,BARROW STREET,,,ADDRESS,NEW YORK,,Precinct,Open,12/13/2016 10:02:58 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,02 MANHATTAN,MANHATTAN,982394,205702,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73128095200977,-74.00669671709193,"(40.73128095200977, -74.00669671709193)"
34989269,12/13/2016 02:00:41 AM,,DOT,Department of Transportation,Street Condition,Pothole,,11415,83-79 118 STREET,118 STREET,84 AVENUE,CURZON ROAD,,,ADDRESS,Kew Gardens,,N/A,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,12/13/2016 02:00:41 AM,09 QUEENS,QUEENS,1030243,196204,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70509188734044,-73.83411568372912,"(40.70509188734044, -73.83411568372912)"
34991728,12/13/2016 02:00:15 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,1945 20 DRIVE,20 DRIVE,BAY 22 STREET,19 LANE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,12/13/2016 10:00:15 AM,Your complaint has been received by the Police Department and additional information will be available later.,12/13/2016 02:05:14 AM,11 BROOKLYN,BROOKLYN,982908,157788,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.599767782094695,-74.00483259303671,"(40.599767782094695, -74.00483259303671)"
34995772,12/13/2016 01:54:50 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,441 EAST 116 STREET,EAST 116 STREET,1 AVENUE,PLEASANT AVENUE,,,ADDRESS,NEW YORK,,Precinct,Open,12/13/2016 09:54:50 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,11 MANHATTAN,MANHATTAN,1002473,229105,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79549755830932,-73.93418534259253,"(40.79549755830932, -73.93418534259253)"
34995686,12/13/2016 01:53:15 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,1678 NELSON AVENUE,NELSON AVENUE,BRANDT PLACE,MACOMBS ROAD,,,ADDRESS,BRONX,,Precinct,Open,12/13/2016 09:53:15 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,05 BRONX,BRONX,1007099,248200,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84789715947232,-73.91741295088288,"(40.84789715947232, -73.91741295088288)"
